ID,Type,Message,Medical_severity
3122,train,"we need aqua tab, jif or any type of disinfectant. .. we're can you find some",1
3128,validation,much more doctores are needed in the provinces,1
3143,train,"When a mother feels dizzy and has head injuries after the earthquake, can she still breastfeed her baby?",1
3146,train,"People in Rue Tiremasse, in the area of St Michel are asking for the people to distribute the aid for them, they need water, food and medicine please sos",1
3167,train,we are now in petit goave #55 benoit street. we have problems to get shelter health services and food. please help us by the grace of god,0
3189,test,"My child is dying of starvation, I have received nothing",1
3233,train,"We salute you in Jesus'name. WE have problems because in our area there are people who have heart problems, high blood pressure, asthma. WE don't have tents, we don't have drinkable water. there are people who are hypo and hyper glycemic?. .. ",1
3242,train,"Us From Gros Morne, Artibonite, we need medical assistance, because they never send us anything. Send doctors to us",1
3262,train,"My friends, the people of Au Cap ( Cap-Haitien ) are requesting aid for people at the Justinian Hospital Cap-Haitien, Milo Hospital needs medical aid and food. Please get this message to the authorities.",1
3294,train,"( truncated ) food, water, medecine, tent, engineer for the supervision of the house",1
3304,train,Please come help there are dozens of wounded people at the different ( truncated ),1
3319,test,"We're a group that's made a camp in an adventist church that's in Sarthe 53, next to the garage Graham, facing the Jordanian base. There's a lot of us, about 70. ..",0
3341,train,I have lost my entire family and I can't find anyone to help me. I don't when was the last time I ate anything ( unclear ) ,0
3365,train,Try to make available a group of psychologists throughout the 10 Departments of the country so that they can help the survivors who have pathologies.,0
3366,train,"Help please, we need help at Christ-Roi street, Impasse Cedor. We need food, water, medical care and tents because there are two newborn babies in the. ..",1
3382,train,"Cavaillon near les Cayes was just Hit by an earthquake, 25 dead and 100 Wounded. Please help us. ..",1
3421,train,This is why I am asking for food for the survivors. Still we have not recieved help. People are dying of hunger. Please help them.,0
3474,train,"We are in the North-West department, right in Mole St-Nicolas in Karenaj ( ? ) we need emergency aid",1
3497,train,People in Petit Goaves need medical assistance as well. Please be aware of that as well.,1
3502,train,"Not even a tent. Our children have fallen ill,",1
3521,train,"We are in the area of Petit Goave, we would like .. we need tents and medication for flu/colds.. ",1
3528,validation,"I am a victim, I (live)by Bois Balance. I need food, clothing, water, medicine soon. I am along the Airport Road. ",1
3545,train,"Please help me. I am very ill. I have a problem with my head, I'm not.. ",1
3565,train,"What can we expect from the government because there is no water. The pipe doesn't come and all the reservoirs are gone and sometimes, when the REd Cross water trucks pass, the refuse to even give us 2 or 3 bukets of water ",0
3578,validation,"We need food, water, medicine and tent (lamp coleman), flash light at Alix Roy Street, Impasse Champagne ",1
3589,test,the last earthquake I lost 4 people without counting an amputated foot ,1
3605,train,Hello Red Cross. WE need your humanitarian aid right now. Thank you. ,0
3632,train,The Doctors without Borders Hospital in Delmas 19 is closed. The Saint Louis Gonzaga hospital in Delmas 33 is taken in sick and wounded people for free ,1
3637,train,"The hospital for Doctors without Borders at Delmas 19 is closed. The hospital St-Louis de Gonzague at Delmas 33 takes care of all sickly and injured patients, free of charge ",1
3646,train,"Many people are suffering from Syphilis in our area, but the health expects - (doctors) are only interesting with Aids people. ",0
3661,train,"Haiti (Miragoane). If it was for those people, misery would have killed us by now. And you must distribute in all the cities in the provinces. Most of the people who come from the capital are in the city of .. ",1
3700,train,WHAT CAN A PSYCHOLOGIST DO OR WORK TO AID IN THE EFFORT?(IN HAITI NOW) ,0
3709,test,pleas send me a number that i can contact to find mediacal aid and other forms of aid. ,0
3714,train,"If there is rain, will the water table (water source) be contaminated and make people sick ",1
3718,validation,We're in Kenscoff. We're victims. We need help. ,0
3732,train,I would like to know where can I get care? Which hospital? ,0
3787,train,"What do I have to do, where do I have to go to find medical care? ",1
3798,validation,"Hello, how did the people that were injured, their house broken down have the time to get out of Port-au-Prince? How can I take advantage of that? ",1
3809,test,I need information about aid and emergencies. ,0
3818,validation,"garbledwhat is available? there are 190 of us. thank you in advance. we hope for a fast response, things are getting critical here. ",0
3823,train,"Disorder, Lots of people getting beaten, there are people who are unconscious and lots of dead ",1
3832,train,Good morning. Please provide us with some food in Fond Michel (Locality name) ,0
3834,train,"I thought it was possible help would come from the forreigners here. Leogane, route .. ",0
3839,test,"The people of ? need roads, electricity, medicine because there's an epidemic attacking them ",0
3851,train,Is there anyone giving blood here? ,0
3855,train,"I am injured, I'm in the hospital right now ",1
3858,validation,I found medical care but now I'm hungry. Please send me something to eat. I'm in Chalkolimon Hospital. ,1
3861,train,"(..) the wounded, but without (blood) transfusion. Thanks. ",1
3870,train,Which cream is good for skin blemishes? ,0
3880,train,I am in need of a shelter (tent) for my baby. She has a cold. Thanks for helping me ,0
3882,train,"I am in Carefour Feuilles, Dkayet neighborhood. We need potable water because diarrhea is rampant here and is undermining our health. ",1
3887,train,"People who are located above Descaillets need shelter (tents) to protect the babies from light rain (outside), because they are sick. please help us ",1
3905,train,My injured family and friends are in the hospital in Hinche ,0
3908,validation,"We need some food, water and medicine in the town of Pernier, ",1
3934,train,"how come red cross doesn't provide people with nutrition that could make increse blood in our body. I beleive it is impossible to donate blood because everyone has their own problems, because they are weak. ",1
3944,train,Is it possible to know how many people died during the quake? ,0
3947,train,"Hospital Medecin Sans Frontiers (Doctors without borders) located at Delmas 19 is closed. Hospital San Louis Gonzague situated at Delmas 33, will take care of all the sick for free. ",0
3974,train,"Fontamara 27 all the way to the end, the area of Fon Brach and Nan Baro need food, water and care. We are in great need. Please help us. ",0
3979,test,"There is a disease in Jacmel Called Hunger, the markets are closed, the little corner stores are not open, there's no food or brevages,all the hospitals are closed. there's is only 1 laboratory that's working in the city. ",1
3984,train,There are some people that I know in central Port-au-Prince on whom blocks fell who haven't been cared for at all. ,1
4001,train,I am a victim of the January 12th earthquake. ,0
4007,train,"My wife is pregnant, she was hit by a block on Jan 12th, she went to the hospital and they said the baby has been moved. She's at the hospital called St. Therese Miragwan, he doesn't have any money to get her ",0
4021,train,"I don't understand what you are doing as I am a victim. I cannot go give blood. On the contrary, you have to help me. ",0
4023,train,I don't have monies to go give blood in Port-au-Prince from La Gonave. ,0
4024,train,"People on top of Dekayete. Please help the babies, they are sick and need help please ",1
4027,train,"We are in Dekayet - Carrefour-Feuilles area, we need cleaning water. We are dying with diarrhea. ",1
4048,validation,I would like to thank very much all the doctors who came to help after the massive earthquake that hit the country. God bless you. Stay firm and strong. ,0
4058,validation,A smell within debc jman. They need lots and lots of medications there. ,1
4081,train,We need help at Hospital Gonaive. SEE BELOW ,0
4099,test,"IN ST March, people are starving and are sick,we are waiting for help.. ",1
4109,test,i want to give blood where do I go ,0
4177,train,"We sleep outside,we need foods and medications ",1
4205,train,requesting power and financial support for victims in La roche ,0
4207,train,"THE ADVICEE I GIVE TO THE GOVERNEMNT THEY HAVE TO DO MORE FOR THE DISTRIBUTION OF FOOD AND FIND PEOPLE WHO ARE WOUNDED FAST,THY HAVE TO MAKE A DECISION FAST ",1
4221,train,Is the the hospital in Delmas that is working? ,0
4225,train,Send the red cross - there is a little kid who fell into the toilet of the Pea House in Cite Militaire ,0
4238,validation,"We need for the state to do all that is possible for the people who are suffering find care in the hospitals like Gonaives, they have never reached us. They are people suffering, there are no medicine. ",1
4256,train,NOTES: We need water and health care at rue Cadet Jeremie in Carrefour-Feuilles. Thank you.,1
4266,train,WHere can I find a Hospital in Delmas? ,0
4298,validation,"We need food, water, in Clercine 12, we are starving in Chretien Street ( dead end ), we are hungry and we are sick ",1
4312,train,"Good evening. I was required to send this to you. You have never responded. I sent you a message about water, food, medicine. You have never said anything. ",1
4314,train,"We are dying, I feel my two feet are broken ",1
4331,train,our houses got destroyed.can you help us ,0
4349,test,"Where can we find medicine, tents, medical care for free? ",0
4355,train,Where can I find a health center in La Plaine ,0
4357,train,"We are victims of the January 12 Earthquake, 8th section of Petit Goave. We did not find help,food,water. Pregnant woman and kids are dying. So many people came from port-au-prince and we have no way to give them anything, it's making matters worst. ",1
4362,train,"Good evening, I am in Leogane in a temporary Shelter at Dampus, Route 9, not too far from the Marines base. Since last week we did not get anything, we hare thirsty.. ",0
4366,train,"I am bleeding profusely, I am under some debris, baby has diarrhea, a little bread and marinad (fried flower)sustains us. It's damp.. ",1
4375,train,"Hello, will you please help me with a tent because it's raining.. ",0
4398,validation,hit us and some of us have broken arms and broken legs please come help us because we are dying in the cold. ,1
4402,train,"We need food, water, medicines in the area Petite Place Marchands Communs Dessalines, we are nearly 100 people living in the Petite Place of the Marchands, we haven't gotten ",1
4407,train,"We're in the area of Belair, at the foot of Morne Karate, on the road L'Amitie de Jacmel. We are writing to request some assistance because things are not going well for us. Thanks in advance. ",0
4413,train,"WE ARE THE PEOPLE IN LILAVOIS 17 IN THE BETHESDA STREET, THE HOUSES ARE BROCKEN WE SLEEP OUTDOOR,WITH INSECTS WE ARE VERY HUNGRY,COME TO HELP US THANKS FOR THE GOOD WORK ",0
4425,train,We need help at Place Mais-Gate. We have a sick baby. ,1
4436,train,".. psychologically I am really sick because my older brother died in front of me. He was the only person working to support the family financially. We need psychologist's help, please. ",0
4437,train,I say thank you because I see that you understand what I said. I see an helicopter carrying medical supplies. We also need psychologists.. ,0
4461,train,"S.O.S. We would like to inform the responsible as well as the pilot of the helicopter that they flight to low in the Delmas area, specially Delmas 19 because we have a lot of sicks people there. Thank you very much. ",1
4473,train,"Hello, we need shelter, we need mobile health service, we need food and water. Nobody came to see us..it's only neighbors helping us ",0
4482,train,"I am disaster-stricken in Port-au-Prince I (don't? -trans.) know what I'm going to do to live. Help me, Digicel which is my company ",0
4510,train,"Please, I'm someone who got out from under rubble. My whole family is dead. Give me a little help please. ",0
4515,train,"pls we need tents, blankets, water, food -rice, beans,oil,cornmeal,etc., meds for infection amoxicilline, vitamins, fever, colds, milk for babies, children, ",1
4516,train,I run out of underwear. People are helping me. If you can do something for me if it is possible.. ,0
4528,validation,"the hospital sans frontiere need blood for those who still live,we need care now otherwise we die ",0
4573,train,LABOULE 14 TOMASEN 12 NEED FOOD ROOF SOME ARE WOUNDED ,1
4575,train,I need to know if they need Haitian nurses in this vaccination campaign please ,0
4587,train,Health alert: MSF is giving care in Matisan 25 to all victims of sexual violence ,0
4626,train,"we need help, it is going to rain. Delmas 62 ",0
4674,train,"We are in akachon intersection of I 32 at the hospital where there is water and medicine, please help us ",1
4712,train,Listen.. I did not find any food yet in the North-West nor did I receive the prepaid (top up) phone card for my mobile. Are we going to receive it too? ,0
4769,test,I would like to get information on the earthquake ,0
4788,validation,"Help for Haiti food for gressier, medicine, and house Tertulien@hayoo.fr ",0
4800,train,A LOT OF PEOPLE ARE SAYING THAT THE EARTHQUAKE WILL FINISH ON FEBRUARY 12 IS IT THRUE ,0
4821,train,SOME GET MANY FOOD CARDS AND I CANT FIND ANY FOR ME ,0
4826,train,I would like to know when they will continue to remove the dead bodies in Descombes and decrease as soon as possible the risk of epidemics. Thank you! ,0
4831,train,where can people go to get the PAM card. the people in my neighborhood are getting sick from sleeping outside. some have a cold and fever. ,1
4833,train,WE NEED AID PLEASE SOME PEOPLE ARE ALMOST DEAD. ,1
4834,train,"I would like to know some info on hospital, schools food distributions etc. ",0
4836,train,"I want to work. I have nothing to do. I am asking to find a job for me, please. I speak English. I live at Bizoton 53. I am a woman, thank you. ",0
4844,train,The message said We wanted to know how many doctors are in je pwela tent because they are outside. ,0
4859,test,"how is the capital now, because i heard that there were people who were happy because there stores and institutions are still working ",0
4878,validation,WE NEED A DOCTOR IN ARCAHAIE WHERE ARE THEY? ,0
4892,train,This is a message to ask where I can go to a hospital ,0
4900,train,"I would like to get the phone number for Doctors without Borders, Pam or Care. ",0
4901,train,"The SMS: 4636:-UNICEF immunization against measles, tetanus, diphtheria for children with at least 7 years, will begin at 9 am at the Silvio Cator stadium ",1
4911,train,"We have to live, please send this message. Where is the government. It's been 22 days since the disaster and we never found any help. I got a surgery and my wife is pregnant. ",1
4916,train,"I left Port-au-Prince, I am now relocated in Lasile but the situation is not terrible except for the refugees who are injured as well as the population need aid, more particularly: medicine and food to the rescue, please. ",1
4917,train,"In Delma 75 they can't find potable water, food, or medecine. ",1
4918,validation,What will we do with the people who haven't received aid? Let them die of hunger like the people of La Plaine where I live? ,0
4930,train,"in jacmel we have nothing that has reached us, people are starting to get sick. we are asking for help ",1
4931,train,"..find a little help. Today makes 22 days since the people in Guiton were victims and we have had no aid. How do you feel, since you haven't helped us after all this time? ",0
4934,train,"We could use some things like water, food, tents. There is someone who died from not receiving medication. We have four more people who are very ill. ",1
4941,train,During the quake my head was hit hard. Since then it gives me lots of problems. Something is wrong. I cannot see well. I would like to now where I can find help. ,0
4944,train,it was great to have people vaccinated at silvio cator ctr but it is very smelly there it need to be desinfected. ,1
4949,test,I have no food in Pestel please send food for us. ,0
4950,train,"Village in Delmas 103 that has yet to find any help, they are in the street. They cannot ..anymore ",0
4955,train,"She has a friend who lives in Carrefour, Haiti. She says there hasnt been any aid passing there at all, and the people in that area cant find anything to eat. ",0
4959,test,".. a shelter centre that has lots of babies and children. Until now, we haven't gotten anything. We need medicine, tents, water and food ",1
4969,test,We need the government CD in La Gonav. People in Sant Ebjeman by Jerusalem are dying. ,0
5069,test,we do not understand why we cant get a tent for kids that are 5 and 4 months old...last night it was raining on the kids ,0
5071,train,I am injured and my home is destroyed where we are a we are not even receiving water. ,0
5088,validation,guys it's time to take those people ou of the park chand mase because the chand masis not good thank you ,0
5089,test,The person would like to know where or which hospital the people that was hurt on the January 12 earthquake were sent out. ,0
5090,train,The people from inside the Village rapatriye in La Plaine didn't receive any help. ,0
5101,train,I would like to know where they sent the people that were injured from the earthquake on Jan 12 ,1
5135,train,"We are asking the concerned authorities to come visit us in Source Corosol, a community in Carrefour, zone Wagney 93. Since the earthquake, we haven't received any aid. ",0
5236,train,"We are living in Carrefour Truitier. We reprsent PREOCHARJ - an organization. We need water, food, psychiatric services, medication. Thank you ",1
5307,train,"I'm very close to Port-au-Prince at Tabarre, Routes Freres i need to get to the hospital in urgency. ",1
5319,test,I need to where to put the dead bodies i am located in Carrefour. ,0
5325,train,I am a medical student. I'd like to get a job helping the sick. ,0
5336,train,Where should we go for vaccinations? They give (say) the place for children younger than 7 years but they don't say for old people. ,0
5362,train,"BAD ODORS ARE TOO MUCH IN PORT AU PRINCE,THE HELP MISSIONS SHOULD FIND THEMSELVES A BETTER PLAN OF WORK,WHERE ARE THE BOSSES? LOT OF NICE TALKS FOR NOTHING,WE NEED EVERYTHING. ",0
5374,train,Good morning I don't have a home Can you please give me and my family food and also a tent. ,0
5379,test,"i living At Mont Oje 5 km from Jacme we have food, water, medicine problem we don't have any can you send something for us here ",0
5429,test,Where can one find a card to get some rice and when is this ending? ,0
5446,train,"How are you all I hope you all are well in the name of God. Well I need a tent for the families with children who had their house cave in, see that you can please do that for me, thank you. ",0
5447,train,"We are responsible for our organization GPDENH a Saint Bejeman the bicentennial ed as we need: food, water, medicine, tents. ",0
5467,train,"I AM SICK, I HAVE FIEVER ,PLEASE SEND ME A TENT ,MY HOUSE IS IN METAL PLATES,NOT SO GOOD COME TO HELP ME ",1
5494,train,Two people have problems in Petit-Goave Mango/Marion area. One has a broken foot. One is blind. We cannot hold out. We are hungry. We are thirsty. Help us! ,0
5525,train,"The ninth municipal section Citroniera in Leogane, needs help with health care, food, shelter. ",0
5529,test,"They did not put in place a refugee center for these people who have been amputated with large injuries so that they could continue being taken care of. If not, these people are going to die. (They choose to send.. message truncated..) ",1
5534,train,"We who are living in Leogane Kolas zone, route Lamitye since the earthquake the foreigners who have been giving out aid have never passed through here. We are asking for them to pass by with aid. ",0
5555,train,THEY DONT GET HELP AND DOCTORS ,0
5559,test,"WE need food, tents and healthcare in Port-de-Paix ",0
5576,train,My child is seriously injured. ,1
5601,train,Peole that are living in La Montay especially in Lespinas need medical aid. ,0
5610,train,"We need water, food, and medications in Jacmel, Montagne La Voute. ",0
5619,test,there is a one month old baby and the doctor told the mother not to nurse because the milk is bad. Please what should we do. We need milk for the baby. ,0
5621,train,"In Miragoane, we are not supposed to be buying medications. We are victims too. I hope that assitance arrives in Sainte Therese Hospital in Miragoane. ",0
5634,train,We need food and medical assistance. Citizen Action for Haitian Renovation (ACIREH). ,1
5635,train,We need food and medical assistance. signed Actions Citoyennes pour la renovation d'Haiti ,1
5644,train,"Please, I would like to know what precautions there are for me to prevent all diseases from the catastrophe on January 12. ",0
5649,test,I feel like about to pass out but I'm relying on you. who ever transmitting this message. ,0
5651,train,"I need.. The is no water, no food.There are women who have just delivered babies. there is no medicine and a lot of other stuff. I have counted at least 283 families who need my need.. ",0
5655,train,We need to protect ourselves from the sickness from the Jan. 12th catastrophy ,1
5656,train,"we have big problem over here. When they distribute the food, they only give it to their pals.. (friends). We do not know what to do ",0
